customer_id,segment,acquisition_channel,city,state,payment_method,plan_type,signup_date,tenure_days,monthly_fee,support_contacts,is_churned
CUST_0001,Basic,Direct,Austin,TX,Bank Transfer,Monthly,2019-05-02,2070,13.12,0,0
CUST_0002,Enterprise,Referral,Chicago,IL,Credit Card,Annual,2023-02-24,676,192.63,0,0
CUST_0003,Enterprise,Referral,Jacksonville,FL,Credit Card,Monthly,2020-05-25,1681,96.74,1,0
CUST_0004,Basic,Social Media,Denver,CO,Credit Card,Annual,2023-03-09,663,10.93,1,1
CUST_0005,Basic,Direct,Columbus,OH,Debit Card,Monthly,2020-07-18,1627,14.62,1,0
CUST_0006,Premium,Social Media,Chicago,IL,Debit Card,Monthly,2024-03-10,296,67.77,1,0
CUST_0007,Premium,Organic,Seattle,WA,Bank Transfer,Annual,2021-09-22,1196,59.89,1,1
CUST_0008,Basic,Organic,San Diego,CA,Debit Card,Annual,2021-05-28,1313,26.57,1,0
CUST_0009,Premium,Organic,Charlotte,NC,Credit Card,Monthly,2020-06-04,1671,68.61,0,0
CUST_0010,Basic,Social Media,San Francisco,CA,Bank Transfer,Annual,2020-01-14,1813,11.48,1,1
CUST_0011,Enterprise,Referral,Los Angeles,CA,Credit Card,Monthly,2023-05-17,594,119.02,3,1
CUST_0012,Basic,Referral,New York,NY,Bank Transfer,Monthly,2020-02-02,1794,19.88,2,1
CUST_0013,Basic,Organic,San Antonio,TX,PayPal,Monthly,2024-04-07,268,28.15,1,1
CUST_0014,Premium,Organic,San Antonio,TX,Credit Card,Monthly,2020-07-31,1614,61.22,1,0
CUST_0015,Basic,Organic,Boston,MA,Debit Card,Monthly,2023-03-10,662,12.44,2,1
CUST_0016,Premium,Organic,Fort Worth,TX,Debit Card,Monthly,2023-01-19,712,56.7,2,0
CUST_0017,Basic,Organic,Dallas,TX,PayPal,Monthly,2020-03-17,1750,29.25,1,0
CUST_0018,Basic,Organic,San Francisco,CA,Credit Card,Annual,2019-08-08,1972,11.03,2,0
CUST_0019,Basic,Paid Search,Philadelphia,PA,Credit Card,Annual,2019-07-22,1989,17.39,1,1
CUST_0020,Basic,Direct,Austin,TX,Debit Card,Annual,2022-05-09,967,16.42,0,0
CUST_0021,Basic,Referral,Houston,TX,Credit Card,Monthly,2019-05-27,2045,16.97,0,0
CUST_0022,Enterprise,Paid Search,San Antonio,TX,Debit Card,Monthly,2024-05-30,215,93.62,2,0
CUST_0023,Premium,Social Media,Boston,MA,PayPal,Monthly,2022-08-20,864,78.27,2,0
CUST_0024,Basic,Referral,Indianapolis,IN,Debit Card,Annual,2022-02-17,1048,27.76,5,1
CUST_0025,Enterprise,Direct,Seattle,WA,Credit Card,Monthly,2021-04-01,1370,133.81,1,0
CUST_0026,Basic,Paid Search,Indianapolis,IN,Bank Transfer,Annual,2022-03-04,1033,24.42,1,0
CUST_0027,Premium,Referral,Columbus,OH,PayPal,Annual,2020-07-16,1629,74.6,3,0
CUST_0028,Basic,Organic,Indianapolis,IN,Credit Card,Monthly,2021-12-08,1119,10.87,2,0
CUST_0029,Enterprise,Referral,Phoenix,AZ,Debit Card,Monthly,2019-06-30,2011,148.68,1,0
CUST_0030,Basic,Organic,New York,NY,Credit Card,Monthly,2023-12-22,375,17.89,2,1
CUST_0031,Basic,Referral,Los Angeles,CA,Credit Card,Monthly,2021-02-23,1407,26.97,0,0
CUST_0032,Premium,Referral,San Jose,CA,Debit Card,Annual,2021-07-09,1271,60.58,0,0
CUST_0033,Basic,Referral,Boston,MA,PayPal,Annual,2020-02-04,1792,11.02,1,0
CUST_0034,Premium,Paid Search,Denver,CO,PayPal,Monthly,2022-02-22,1043,71.95,1,0
CUST_0035,Basic,Paid Search,Austin,TX,Credit Card,Monthly,2021-12-12,1115,15.43,3,1
CUST_0036,Basic,Referral,San Diego,CA,Bank Transfer,Annual,2020-09-27,1556,24.29,0,0
CUST_0037,Basic,Paid Search,Phoenix,AZ,Credit Card,Monthly,2022-02-24,1041,23.92,1,0
CUST_0038,Basic,Organic,Indianapolis,IN,Credit Card,Annual,2021-06-15,1295,29.1,3,0
CUST_0039,Basic,Paid Search,Phoenix,AZ,Credit Card,Monthly,2022-05-28,948,10.92,0,1
CUST_0040,Enterprise,Referral,Jacksonville,FL,Credit Card,Annual,2019-12-07,1851,136.82,0,0
CUST_0041,Basic,Paid Search,San Jose,CA,Debit Card,Annual,2022-04-18,988,17.49,3,1
CUST_0042,Basic,Organic,Los Angeles,CA,Credit Card,Monthly,2023-02-07,693,26.02,2,0
CUST_0043,Premium,Social Media,Jacksonville,FL,Credit Card,Annual,2024-02-09,326,40.33,1,0
CUST_0044,Basic,Organic,Seattle,WA,Bank Transfer,Monthly,2021-02-14,1416,17.71,2,1
CUST_0045,Basic,Referral,Seattle,WA,PayPal,Annual,2022-12-14,748,18.36,3,0
CUST_0046,Premium,Referral,Houston,TX,Credit Card,Annual,2023-08-15,504,73.36,1,0
CUST_0047,Premium,Referral,Chicago,IL,Credit Card,Annual,2019-03-03,2130,54.83,1,0
CUST_0048,Basic,Organic,Dallas,TX,Debit Card,Monthly,2023-12-25,372,29.0,3,0
CUST_0049,Basic,Paid Search,Houston,TX,Debit Card,Annual,2021-11-28,1129,11.82,1,1
CUST_0050,Premium,Paid Search,Austin,TX,Bank Transfer,Annual,2021-10-29,1159,68.08,1,0
CUST_0051,Basic,Referral,San Jose,CA,Credit Card,Annual,2022-05-02,974,11.63,0,0
CUST_0052,Enterprise,Paid Search,New York,NY,Debit Card,Monthly,2022-09-12,841,198.32,2,0
CUST_0053,Premium,Referral,San Jose,CA,Debit Card,Monthly,2023-01-14,717,42.68,2,0
CUST_0054,Premium,Social Media,San Antonio,TX,Bank Transfer,Monthly,2019-07-09,2002,50.01,1,0
CUST_0055,Premium,Paid Search,Jacksonville,FL,Debit Card,Monthly,2021-03-25,1377,74.56,2,1
CUST_0056,Premium,Direct,Seattle,WA,Credit Card,Monthly,2022-03-12,1025,52.73,3,0
CUST_0057,Basic,Direct,San Diego,CA,Credit Card,Monthly,2020-01-08,1819,15.55,0,1
CUST_0058,Basic,Paid Search,Seattle,WA,Credit Card,Monthly,2021-01-09,1452,29.72,2,1
CUST_0059,Premium,Referral,Fort Worth,TX,Debit Card,Annual,2023-06-06,574,50.83,2,0
CUST_0060,Enterprise,Referral,Phoenix,AZ,Credit Card,Monthly,2021-12-24,1103,137.64,3,0
CUST_0061,Premium,Referral,New York,NY,PayPal,Monthly,2020-01-20,1807,30.68,0,0
CUST_0062,Premium,Paid Search,Phoenix,AZ,Debit Card,Monthly,2021-09-23,1195,66.31,2,0
CUST_0063,Basic,Organic,Fort Worth,TX,PayPal,Monthly,2021-05-30,1311,25.14,0,0
CUST_0064,Basic,Organic,Los Angeles,CA,PayPal,Annual,2022-08-22,862,27.04,3,1
CUST_0065,Basic,Organic,Charlotte,NC,Bank Transfer,Annual,2019-03-16,2117,14.26,0,0
CUST_0066,Basic,Paid Search,Los Angeles,CA,PayPal,Monthly,2020-03-10,1757,28.08,1,0
CUST_0067,Premium,Paid Search,San Jose,CA,Debit Card,Annual,2021-06-18,1292,52.97,2,1
CUST_0068,Basic,Referral,Los Angeles,CA,Credit Card,Annual,2023-11-11,416,16.83,2,1
CUST_0069,Basic,Referral,Houston,TX,Credit Card,Monthly,2022-05-03,973,27.49,3,0
CUST_0070,Premium,Paid Search,San Jose,CA,Credit Card,Monthly,2023-03-17,655,56.72,2,0
CUST_0071,Basic,Paid Search,Charlotte,NC,PayPal,Monthly,2019-12-16,1842,13.14,1,0
CUST_0072,Enterprise,Organic,Chicago,IL,Credit Card,Monthly,2020-09-30,1553,190.89,1,0
CUST_0073,Premium,Referral,Columbus,OH,Credit Card,Monthly,2021-10-23,1165,74.76,2,1
CUST_0074,Basic,Paid Search,Charlotte,NC,Credit Card,Annual,2019-01-28,2164,10.4,1,1
CUST_0075,Basic,Organic,San Francisco,CA,Credit Card,Monthly,2022-11-18,774,25.78,1,0
CUST_0076,Premium,Referral,San Diego,CA,PayPal,Monthly,2023-04-27,614,44.19,2,0
CUST_0077,Basic,Direct,Phoenix,AZ,Debit Card,Monthly,2019-10-04,1915,13.06,1,1
CUST_0078,Basic,Organic,Dallas,TX,Credit Card,Monthly,2021-11-29,1128,23.94,4,1
CUST_0079,Enterprise,Paid Search,Philadelphia,PA,Bank Transfer,Annual,2021-04-26,1345,144.2,2,0
CUST_0080,Enterprise,Referral,Boston,MA,PayPal,Monthly,2020-07-12,1633,164.87,1,0
CUST_0081,Premium,Direct,Fort Worth,TX,PayPal,Monthly,2020-11-20,1502,52.71,2,0
CUST_0082,Premium,Organic,Phoenix,AZ,Credit Card,Monthly,2021-06-29,1281,53.58,1,0
CUST_0083,Enterprise,Social Media,Jacksonville,FL,PayPal,Annual,2023-01-22,709,192.6,0,0
CUST_0084,Basic,Referral,San Diego,CA,Debit Card,Annual,2024-01-26,340,13.27,0,0
CUST_0085,Premium,Referral,Houston,TX,Credit Card,Monthly,2020-02-06,1790,70.83,1,1
CUST_0086,Basic,Paid Search,Charlotte,NC,PayPal,Monthly,2021-10-03,1185,17.68,3,1
CUST_0087,Enterprise,Referral,San Diego,CA,Bank Transfer,Monthly,2023-07-05,545,154.41,3,0
CUST_0088,Basic,Organic,New York,NY,Credit Card,Monthly,2023-03-26,646,19.88,1,0
CUST_0089,Premium,Paid Search,Fort Worth,TX,Credit Card,Monthly,2022-03-26,1011,56.99,1,1
CUST_0090,Premium,Organic,Denver,CO,Bank Transfer,Monthly,2024-01-09,357,59.95,3,0
CUST_0091,Basic,Organic,Austin,TX,Credit Card,Monthly,2021-08-15,1234,12.02,1,1
CUST_0092,Premium,Organic,Indianapolis,IN,Bank Transfer,Annual,2024-02-07,328,62.57,2,0
CUST_0093,Basic,Organic,Dallas,TX,Debit Card,Monthly,2021-03-24,1378,14.72,0,0
CUST_0094,Basic,Social Media,New York,NY,Debit Card,Monthly,2021-07-24,1256,22.16,2,1
CUST_0095,Premium,Referral,Chicago,IL,Credit Card,Monthly,2019-03-16,2117,76.15,2,0
CUST_0096,Premium,Organic,Denver,CO,Credit Card,Monthly,2022-04-18,988,50.95,2,0
CUST_0097,Premium,Organic,San Francisco,CA,Credit Card,Annual,2020-11-19,1503,57.87,2,0
CUST_0098,Basic,Paid Search,Denver,CO,Credit Card,Annual,2019-02-01,2160,19.36,2,1
CUST_0099,Premium,Organic,Denver,CO,PayPal,Monthly,2021-09-14,1204,54.05,2,0
CUST_0100,Basic,Organic,Chicago,IL,Credit Card,Monthly,2024-03-16,290,20.53,5,1
CUST_0101,Basic,Organic,San Diego,CA,Credit Card,Annual,2020-08-01,1613,27.75,4,0
CUST_0102,Premium,Direct,Boston,MA,Bank Transfer,Monthly,2021-01-04,1457,46.2,0,0
CUST_0103,Premium,Referral,Denver,CO,Credit Card,Annual,2022-08-01,883,51.07,3,1
CUST_0104,Basic,Referral,Jacksonville,FL,Debit Card,Monthly,2022-07-03,912,21.04,1,0
CUST_0105,Enterprise,Social Media,San Francisco,CA,Debit Card,Monthly,2023-10-17,441,175.98,1,1
