claim_id,claim_type,claim_amount,policy_type,policy_age_months,claimant_age,claimant_gender,incident_date,report_date,incident_hour,report_delay_days,previous_claims,witness_present,police_report,injury_claimed,claim_status,is_fraudulent,claim_severity
CLM_00001,Life,785,Basic,3,39,M,2023-04-18,2023-12-09,23,1.2,0,1,0,0,Approved,0,Medium
CLM_00002,Property,159,Basic,3,68,M,2023-12-11,2023-12-24,18,1.4,2,0,1,1,Under Investigation,0,Medium
CLM_00003,Travel,1213,Premium,2,23,F,2023-09-17,2023-12-29,16,0.9,2,0,1,1,Under Investigation,0,High
CLM_00004,Property,1003,Standard,65,26,F,2023-08-25,2023-12-21,12,0.5,5,0,0,0,Denied,0,High
CLM_00005,Health,2324,Basic,44,52,M,2023-05-19,2023-12-28,22,3.3,3,1,1,1,Approved,0,Low
CLM_00006,Health,128,Basic,4,40,M,2023-05-09,2023-12-18,6,1.9,0,1,0,0,Approved,0,Low
CLM_00007,Home,512,Basic,119,79,M,2023-03-24,2023-12-03,19,6.7,1,0,1,0,Approved,0,Medium
CLM_00008,Property,1854,Standard,12,56,F,2023-09-10,2023-12-28,16,0.2,3,0,0,1,Pending,0,Low
CLM_00009,Travel,13153,Premium,17,55,F,2023-02-10,2023-12-13,22,3.3,2,1,1,1,Denied,0,Low
CLM_00010,Health,23107,Basic,39,18,M,2023-08-03,2023-12-03,6,0.6,1,1,0,0,Under Investigation,0,Medium
CLM_00011,Auto,2019,Platinum,54,50,F,2023-09-07,2023-12-22,15,5.6,3,1,1,1,Pending,0,Medium
CLM_00012,Auto,3676,Premium,8,24,M,2023-08-26,2024-01-01,0,2.0,2,1,1,1,Approved,0,Medium
CLM_00013,Property,8556,Premium,4,52,F,2023-11-13,2023-12-16,4,0.8,3,1,1,0,Under Investigation,0,High
CLM_00014,Travel,2568,Platinum,18,42,F,2023-05-23,2023-12-11,22,0.9,3,1,1,0,Pending,0,Critical
CLM_00015,Home,1068,Standard,119,43,M,2023-03-01,2023-12-08,21,1.3,1,1,0,0,Pending,0,Low
CLM_00016,Property,3939,Standard,58,80,F,2023-08-29,2023-12-11,22,3.3,1,1,0,0,Under Investigation,0,Medium
CLM_00017,Life,9505,Standard,16,30,F,2023-08-30,2023-12-23,14,3.6,3,0,1,0,Approved,0,Low
CLM_00018,Travel,25274,Basic,117,18,F,2023-06-26,2023-12-26,21,3.8,2,1,1,1,Approved,0,Medium
CLM_00019,Health,2242,Basic,69,51,F,2023-05-23,2023-12-23,4,1.5,2,1,1,1,Denied,0,Low
CLM_00020,Home,3241,Platinum,65,50,F,2023-02-05,2023-12-22,18,5.2,3,0,0,0,Approved,0,Low
CLM_00021,Health,13046,Standard,109,46,F,2023-05-29,2023-12-12,6,0.4,2,1,1,0,Pending,0,Medium
CLM_00022,Health,348,Premium,30,34,M,2023-10-31,2023-12-13,12,4.0,3,1,1,1,Approved,0,Low
CLM_00023,Auto,1819,Platinum,85,70,M,2023-08-10,2023-12-08,4,1.0,3,0,1,1,Under Investigation,0,Low
CLM_00024,Health,2057,Basic,46,30,F,2023-07-15,2023-12-24,11,6.0,1,1,1,0,Approved,0,Critical
CLM_00025,Travel,11911,Platinum,90,36,M,2023-08-28,2023-12-30,11,2.5,3,0,1,1,Denied,0,High
CLM_00026,Auto,8169,Basic,44,62,F,2023-07-12,2023-12-04,0,0.8,2,0,0,1,Under Investigation,0,Low
CLM_00027,Health,3069,Premium,74,33,F,2023-01-08,2023-12-21,15,4.0,3,0,1,0,Pending,0,Medium
CLM_00028,Life,1198,Platinum,13,63,M,2023-04-23,2023-12-27,19,2.8,3,1,1,1,Approved,0,Critical
CLM_00029,Home,679,Standard,33,18,M,2023-02-24,2023-12-27,21,5.3,4,1,1,1,Under Investigation,0,Medium
CLM_00030,Travel,2047,Basic,95,56,F,2023-04-26,2023-12-31,16,4.2,2,1,1,0,Under Investigation,0,Critical
CLM_00031,Property,2211,Basic,75,68,M,2023-06-23,2023-12-05,14,4.6,0,1,1,1,Pending,0,Low
CLM_00032,Home,3790,Premium,84,51,F,2023-11-09,2023-12-31,23,5.5,4,0,1,0,Approved,0,Low
CLM_00033,Health,4628,Basic,21,22,F,2023-10-01,2023-12-23,17,2.8,3,0,0,0,Pending,0,Low
CLM_00034,Home,1901,Standard,94,80,F,2023-11-01,2023-12-16,14,3.0,0,0,1,1,Approved,0,Low
CLM_00035,Property,7498,Standard,23,35,F,2023-03-13,2023-12-30,23,0.4,1,0,0,1,Approved,0,Medium
CLM_00036,Auto,1372,Basic,40,59,M,2023-09-22,2023-12-27,14,4.0,5,1,1,0,Pending,0,Medium
CLM_00037,Auto,1931,Basic,24,72,M,2023-04-29,2023-12-30,10,0.3,1,1,1,1,Approved,0,Medium
CLM_00038,Life,2949,Premium,19,37,M,2023-08-14,2023-12-18,4,0.6,4,1,1,0,Pending,0,Critical
CLM_00039,Travel,1363,Standard,40,19,F,2023-02-14,2023-12-28,22,2.4,0,0,0,0,Pending,0,High
CLM_00040,Auto,5124,Standard,64,28,M,2023-05-17,2023-12-19,0,4.1,3,1,1,0,Approved,0,Medium
CLM_00041,Property,8479,Standard,63,32,M,2023-08-01,2023-12-16,18,2.9,2,1,1,1,Under Investigation,0,Medium
CLM_00042,Health,317,Premium,103,44,F,2023-07-28,2023-12-27,14,2.9,1,1,1,1,Approved,0,Low
CLM_00043,Home,5296,Standard,15,46,F,2023-04-15,2023-12-04,3,1.8,1,0,1,1,Pending,0,High
CLM_00044,Life,7056,Premium,12,30,F,2023-06-05,2023-12-08,22,1.9,2,0,1,1,Approved,0,Critical
CLM_00045,Travel,3866,Basic,1,63,M,2023-01-20,2023-12-19,7,5.5,3,0,1,0,Approved,0,Low
CLM_00046,Travel,15940,Basic,2,24,F,2023-01-19,2023-12-16,19,2.3,2,1,0,1,Approved,0,Medium
CLM_00047,Life,7826,Standard,105,66,F,2023-09-05,2023-12-11,20,2.2,2,0,1,1,Pending,0,Low
CLM_00048,Health,3780,Basic,78,64,F,2023-06-21,2023-12-11,15,2.5,1,1,1,1,Approved,0,Low
CLM_00049,Travel,3400,Standard,72,71,M,2023-05-07,2023-12-28,22,0.9,6,0,1,0,Approved,0,Low
CLM_00050,Property,13356,Platinum,7,24,M,2023-08-03,2023-12-12,13,1.0,1,0,0,1,Approved,0,High
CLM_00051,Travel,671,Standard,53,61,M,2023-01-24,2023-12-21,5,4.5,2,0,1,0,Under Investigation,0,High
CLM_00052,Auto,45897,Premium,58,46,M,2023-09-25,2023-12-10,21,5.4,2,1,1,1,Under Investigation,0,Medium
CLM_00053,Home,33080,Premium,91,57,F,2023-04-08,2023-12-20,20,0.9,1,1,0,1,Approved,0,Medium
CLM_00054,Home,321,Platinum,40,28,F,2023-07-21,2023-12-16,18,0.8,1,1,1,1,Approved,0,Critical
CLM_00055,Property,1064,Basic,66,57,M,2023-08-25,2023-12-08,12,0.5,2,1,1,0,Approved,0,Low
CLM_00056,Life,808,Standard,55,64,F,2023-02-17,2023-12-17,16,0.4,1,1,1,1,Denied,0,High
CLM_00057,Property,15150,Basic,85,24,F,2023-01-31,2023-12-12,15,7.8,1,1,0,0,Approved,1,High
CLM_00058,Property,2751,Standard,40,72,M,2023-01-02,2023-12-26,12,0.2,3,0,1,1,Approved,0,Medium
CLM_00059,Travel,590,Basic,96,56,F,2023-12-03,2023-12-03,22,0.6,1,0,0,0,Pending,0,Low
CLM_00060,Auto,1746,Standard,18,79,M,2023-08-01,2023-12-17,13,1.1,2,0,1,0,Approved,0,High
CLM_00061,Life,5858,Platinum,117,74,F,2023-05-05,2023-12-07,7,8.6,5,1,1,0,Under Investigation,0,High
CLM_00062,Health,6359,Standard,73,31,M,2023-09-25,2023-12-22,12,0.8,4,1,0,0,Under Investigation,0,Critical
CLM_00063,Life,2744,Platinum,90,35,F,2023-11-25,2023-12-05,5,0.9,2,0,1,1,Approved,0,High
CLM_00064,Property,12666,Standard,92,76,M,2023-03-03,2023-12-24,5,2.2,2,0,0,1,Approved,0,High
CLM_00065,Life,2439,Standard,12,56,F,2023-05-22,2023-12-20,3,2.4,1,1,1,1,Approved,0,Medium
CLM_00066,Travel,2060,Premium,96,81,M,2023-12-20,2023-12-11,4,0.3,3,1,1,0,Approved,0,High
CLM_00067,Property,1524,Premium,32,68,M,2023-11-04,2023-12-10,10,5.2,0,1,0,1,Approved,0,Medium
CLM_00068,Travel,875,Basic,93,38,M,2023-01-09,2023-12-06,16,9.9,2,1,1,0,Approved,1,Medium
CLM_00069,Property,1270,Basic,93,70,F,2023-10-14,2023-12-06,7,0.5,3,1,1,1,Approved,0,Low
CLM_00070,Life,21284,Basic,88,28,F,2023-06-10,2023-12-16,21,2.6,1,0,0,0,Pending,1,Medium
CLM_00071,Health,7653,Premium,76,63,F,2023-10-13,2023-12-11,21,4.1,0,1,1,1,Approved,0,Medium
CLM_00072,Home,10175,Basic,114,32,F,2023-09-17,2023-12-10,5,2.5,2,1,1,0,Under Investigation,0,Medium
CLM_00073,Auto,3202,Premium,22,43,M,2023-12-29,2023-12-24,19,2.4,5,0,1,1,Pending,0,High
CLM_00074,Auto,2029,Platinum,44,35,M,2023-08-04,2023-12-28,22,1.7,1,1,1,1,Approved,1,High
CLM_00075,Travel,593,Premium,108,37,F,2023-08-02,2023-12-15,23,1.7,2,1,1,0,Denied,0,Medium
CLM_00076,Home,14477,Premium,15,43,F,2023-09-23,2023-12-17,2,2.9,2,1,1,0,Pending,0,Medium
