employee_id,department,job_role,education,marital_status,location,age,gender,hire_date,tenure_days,monthly_salary,commute_miles,work_life_balance,job_satisfaction,num_companies_worked,promotions,overtime,training_hours,is_attrited
EMP_0001,Product,Director,PhD,Married,Seattle,42,Male,2016-04-11,3187,13424.75,7.1,1,4,3,0,1,29,0
EMP_0002,Operations,Supervisor,Associate,Single,Austin,43,Male,2022-12-14,749,6949.08,10.5,2,4,4,1,0,61,0
EMP_0003,Marketing,Director,Bachelor,Married,Chicago,58,Female,2020-08-30,1585,15790.83,1.1,1,4,6,2,1,59,0
EMP_0004,Product,Director,Bachelor,Single,Remote,38,Male,2017-10-18,2632,16260.42,8.9,2,1,7,5,0,61,1
EMP_0005,IT,Support,Bachelor,Single,Seattle,45,Male,2017-02-02,2890,4679.83,4.2,1,3,5,3,0,10,0
EMP_0006,Marketing,Coordinator,Master,Married,Chicago,26,Female,2020-09-19,1565,6308.58,20.0,4,2,1,0,0,87,0
EMP_0007,Finance,Manager,Bachelor,Single,Chicago,22,Male,2019-01-25,2168,12320.08,13.8,3,3,6,2,0,76,0
EMP_0008,Marketing,Manager,Master,Married,Seattle,53,Female,2021-12-07,1121,9621.75,6.3,3,1,4,4,0,5,0
EMP_0009,HR,Director,Associate,Married,Remote,32,Male,2020-07-31,1615,18798.58,4.8,1,1,1,1,0,2,1
EMP_0010,Product,PM,Bachelor,Married,Seattle,54,Male,2016-11-14,2970,8798.67,2.8,4,4,1,1,0,11,0
EMP_0011,Operations,Manager,Bachelor,Single,New York,38,Male,2015-01-02,3652,10762.0,1.5,1,4,1,6,0,16,1
EMP_0012,Product,PM,Bachelor,Married,Remote,43,Male,2022-08-31,854,11084.83,2.6,3,2,5,1,0,89,1
EMP_0013,Marketing,Manager,Associate,Married,Austin,62,Female,2019-07-22,1990,10829.83,19.2,3,4,1,0,1,93,0
EMP_0014,Sales,Sales Manager,Associate,Single,New York,23,Female,2021-04-20,1352,12537.42,24.1,3,3,1,1,1,19,0
EMP_0015,IT,Admin,Master,Married,Chicago,29,Female,2015-04-14,3550,6550.17,1.1,2,1,3,4,1,99,0
EMP_0016,Engineering,Architect,Associate,Single,Austin,29,Female,2016-02-05,3253,12357.83,8.8,3,3,6,3,1,26,0
EMP_0017,Marketing,Specialist,Bachelor,Married,New York,26,Male,2017-03-26,2838,5695.33,1.2,1,4,1,6,0,94,0
EMP_0018,Marketing,Director,Master,Single,Seattle,53,Female,2015-05-08,3526,15265.58,6.0,2,2,3,4,0,1,0
EMP_0019,Sales,SDR,Master,Single,Remote,60,Male,2022-09-07,847,4761.58,4.0,4,1,4,1,1,64,0
EMP_0020,IT,Manager,Bachelor,Single,Chicago,44,Male,2017-04-13,2820,10473.08,12.1,3,1,2,3,0,69,0
EMP_0021,Product,PM,Bachelor,Single,Seattle,26,Male,2017-02-12,2880,8004.83,8.6,3,3,7,1,1,29,0
EMP_0022,Marketing,Coordinator,Bachelor,Married,San Francisco,47,Male,2015-04-27,3537,4431.92,6.6,4,1,1,1,0,47,0
EMP_0023,Engineering,Architect,Master,Married,Seattle,60,Female,2016-08-03,3073,14065.92,6.4,4,2,3,1,0,68,0
EMP_0024,Product,Associate PM,Bachelor,Divorced,Seattle,33,Male,2021-11-26,1132,5356.08,7.4,1,2,6,1,1,99,0
EMP_0025,Sales,Director,Bachelor,Married,San Francisco,53,Female,2018-09-10,2305,17366.75,10.6,4,3,2,0,0,90,0
EMP_0026,HR,Director,Bachelor,Married,New York,54,Female,2019-06-25,2017,16975.08,18.2,4,2,3,1,0,1,0
EMP_0027,Finance,Manager,Bachelor,Single,San Francisco,29,Male,2019-06-14,2028,10032.75,4.0,3,4,2,5,0,72,0
EMP_0028,IT,Manager,Bachelor,Married,Austin,39,Male,2020-11-13,1510,10033.58,27.7,1,4,1,2,0,61,0
EMP_0029,HR,Director,Bachelor,Single,Chicago,57,Male,2015-03-17,3578,15145.58,32.4,3,4,4,4,1,99,0
EMP_0030,Finance,Manager,Master,Single,Seattle,63,Female,2021-09-11,1208,10972.83,6.8,3,1,3,5,0,39,0
EMP_0031,Sales,SDR,Master,Married,Seattle,50,Male,2021-07-14,1267,5094.75,20.9,2,4,1,3,0,60,1
EMP_0032,HR,Generalist,Master,Single,Chicago,60,Male,2015-06-22,3481,4631.83,7.3,2,4,4,5,0,24,0
EMP_0033,IT,Support,Associate,Divorced,Austin,53,Female,2017-03-25,2839,5212.5,8.5,3,4,5,2,0,48,0
EMP_0034,Operations,Manager,Bachelor,Married,Remote,24,Female,2017-11-01,2618,12814.08,1.6,2,4,4,1,0,7,0
EMP_0035,Sales,Director,Bachelor,Single,New York,57,Female,2021-12-24,1104,12968.08,4.3,1,4,5,1,1,5,0
EMP_0036,Sales,Sales Manager,Master,Married,San Francisco,31,Female,2017-05-26,2777,9241.75,6.3,2,1,2,3,1,26,0
EMP_0037,Engineering,Junior Dev,High School,Single,New York,42,Male,2016-06-01,3136,5322.42,8.6,1,2,3,5,0,50,0
EMP_0038,Finance,Analyst,Associate,Divorced,San Francisco,49,Male,2019-04-24,2079,6721.17,8.3,2,3,3,3,1,16,1
EMP_0039,IT,Engineer,High School,Married,Seattle,35,Female,2016-03-10,3219,10470.08,10.6,2,2,2,4,0,87,0
EMP_0040,Product,Director,Bachelor,Married,New York,26,Female,2015-05-18,3516,19004.42,7.8,4,4,5,4,0,22,0
EMP_0041,Product,Director,Associate,Single,Austin,61,Female,2015-10-08,3373,18803.25,7.4,1,4,2,4,0,69,0
EMP_0042,Engineering,Junior Dev,Bachelor,Single,San Francisco,35,Male,2022-10-12,812,5544.58,10.9,3,4,6,0,0,80,0
EMP_0043,Sales,Director,Master,Married,Seattle,36,Male,2015-02-25,3598,16020.5,10.6,3,2,2,2,1,22,0
EMP_0044,Operations,Manager,Bachelor,Single,San Francisco,59,Male,2018-04-30,2438,9711.58,5.7,2,3,1,1,0,24,0
EMP_0045,Engineering,Junior Dev,Bachelor,Married,Chicago,62,Male,2020-11-28,1495,5100.67,14.3,3,4,1,1,0,51,0
EMP_0046,Sales,Director,Bachelor,Married,Seattle,27,Female,2018-08-05,2341,12800.83,3.6,2,3,4,1,1,23,1
EMP_0047,Product,Associate PM,High School,Married,Seattle,57,Female,2015-01-06,3648,5145.17,35.9,4,3,6,8,1,67,0
EMP_0048,Marketing,Director,Bachelor,Single,New York,47,Female,2019-04-23,2080,16673.33,2.7,4,1,3,2,0,9,1
EMP_0049,HR,Generalist,Bachelor,Married,New York,58,Male,2022-09-25,829,6056.0,7.4,3,3,6,0,1,59,0
EMP_0050,HR,Generalist,Associate,Married,New York,55,Male,2019-04-20,2083,6862.33,13.8,4,4,5,1,0,29,0
EMP_0051,Marketing,Coordinator,Associate,Single,Remote,47,Female,2016-08-23,3053,6223.67,6.0,4,4,7,6,0,65,0
EMP_0052,Operations,Coordinator,Master,Married,Chicago,27,Female,2021-09-04,1215,5893.67,12.8,4,3,7,2,1,37,0
EMP_0053,Engineering,Junior Dev,Master,Married,New York,25,Female,2016-05-31,3137,5704.08,5.2,2,1,7,4,0,67,0
EMP_0054,HR,Coordinator,Master,Married,Chicago,57,Male,2020-01-09,1819,5597.75,18.5,2,2,6,1,0,11,0
EMP_0055,Sales,SDR,Associate,Single,New York,61,Female,2015-12-22,3298,5790.75,16.6,1,4,7,3,1,39,0
EMP_0056,Engineering,Senior Dev,Master,Single,Seattle,42,Male,2021-10-03,1186,7173.25,26.4,3,2,7,0,0,46,1
EMP_0057,Engineering,Junior Dev,Bachelor,Married,Seattle,47,Male,2016-07-28,3079,4750.67,20.9,2,2,7,3,0,50,0
EMP_0058,Operations,Director,Bachelor,Single,Seattle,45,Male,2015-10-12,3369,16668.92,11.0,4,2,5,6,0,95,0
EMP_0059,Finance,Accountant,Master,Single,Chicago,53,Male,2016-03-04,3225,6374.83,19.1,3,2,1,4,0,62,0
EMP_0060,HR,Coordinator,Bachelor,Single,Chicago,53,Male,2020-03-16,1752,5434.75,17.1,3,4,2,3,0,71,0
EMP_0061,Operations,Coordinator,Master,Single,New York,49,Male,2020-11-13,1510,6474.58,10.2,2,3,4,1,0,54,1
